ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-04-24T02:24:00.000000000Z,33,1,42009338,185.550000000,185.550000000,185.550000000,185.550000000,1,NQM5-NQU5
2025-04-24T06:31:00.000000000Z,33,1,42009338,185.050000000,185.050000000,184.550000000,184.550000000,5,NQM5-NQU5
2025-04-24T07:05:00.000000000Z,33,1,42009338,184.550000000,184.550000000,184.550000000,184.550000000,1,NQM5-NQU5
2025-04-24T07:45:00.000000000Z,33,1,42009338,185.000000000,185.000000000,185.000000000,185.000000000,1,NQM5-NQU5
2025-04-24T07:53:00.000000000Z,33,1,42009338,184.100000000,184.100000000,184.100000000,184.100000000,3,NQM5-NQU5
2025-04-24T08:09:00.000000000Z,33,1,42009338,184.000000000,184.000000000,183.100000000,183.100000000,7,NQM5-NQU5
2025-04-24T10:58:00.000000000Z,33,1,42009338,182.850000000,182.850000000,182.850000000,182.850000000,1,NQM5-NQU5
2025-04-24T11:36:00.000000000Z,33,1,42009338,183.700000000,183.700000000,183.700000000,183.700000000,1,NQM5-NQU5
2025-04-24T11:37:00.000000000Z,33,1,42009338,183.700000000,183.700000000,183.700000000,183.700000000,1,NQM5-NQU5
2025-04-24T11:39:00.000000000Z,33,1,42009338,183.700000000,184.500000000,183.700000000,184.500000000,6,NQM5-NQU5
2025-04-24T12:16:00.000000000Z,33,1,42009338,184.000000000,184.000000000,184.000000000,184.000000000,1,NQM5-NQU5
2025-04-24T12:28:00.000000000Z,33,1,42009338,183.900000000,183.900000000,183.750000000,183.750000000,7,NQM5-NQU5
2025-04-24T12:30:00.000000000Z,33,1,42009338,184.100000000,184.100000000,184.100000000,184.100000000,1,NQM5-NQU5
2025-04-24T12:39:00.000000000Z,33,1,42009338,184.500000000,184.500000000,184.500000000,184.500000000,2,NQM5-NQU5
2025-04-24T12:40:00.000000000Z,33,1,42009338,184.500000000,184.500000000,184.500000000,184.500000000,1,NQM5-NQU5
2025-04-24T12:49:00.000000000Z,33,1,42009338,184.250000000,184.250000000,184.100000000,184.100000000,2,NQM5-NQU5
2025-04-24T12:50:00.000000000Z,33,1,42009338,184.100000000,184.100000000,184.100000000,184.100000000,3,NQM5-NQU5
2025-04-24T13:34:00.000000000Z,33,1,42009338,182.550000000,182.550000000,182.550000000,182.550000000,1,NQM5-NQU5
2025-04-24T13:40:00.000000000Z,33,1,42009338,182.550000000,182.550000000,182.550000000,182.550000000,1,NQM5-NQU5
2025-04-24T13:41:00.000000000Z,33,1,42009338,182.550000000,182.550000000,182.550000000,182.550000000,1,NQM5-NQU5
2025-04-24T13:43:00.000000000Z,33,1,42009338,183.800000000,183.800000000,183.250000000,183.250000000,2,NQM5-NQU5
2025-04-24T13:44:00.000000000Z,33,1,42009338,183.750000000,183.750000000,183.750000000,183.750000000,2,NQM5-NQU5
2025-04-24T13:46:00.000000000Z,33,1,42009338,183.000000000,183.000000000,183.000000000,183.000000000,3,NQM5-NQU5
2025-04-24T13:58:00.000000000Z,33,1,42009338,182.900000000,183.950000000,182.900000000,183.950000000,4,NQM5-NQU5
2025-04-24T13:59:00.000000000Z,33,1,42009338,183.150000000,183.150000000,183.150000000,183.150000000,1,NQM5-NQU5
2025-04-24T14:01:00.000000000Z,33,1,42009338,182.700000000,182.700000000,182.700000000,182.700000000,1,NQM5-NQU5
2025-04-24T14:02:00.000000000Z,33,1,42009338,183.300000000,183.300000000,183.300000000,183.300000000,1,NQM5-NQU5
2025-04-24T14:03:00.000000000Z,33,1,42009338,183.300000000,183.300000000,183.300000000,183.300000000,1,NQM5-NQU5
2025-04-24T14:04:00.000000000Z,33,1,42009338,183.300000000,183.300000000,183.300000000,183.300000000,1,NQM5-NQU5
2025-04-24T14:06:00.000000000Z,33,1,42009338,183.350000000,183.350000000,183.350000000,183.350000000,1,NQM5-NQU5
